,theta_1,theta_2,theta_3,x_e,y_e,z_e
0,0,0,0,3.960300669413169,0.01392181499892058,2.0466499130451363
1,0,0,1,3.1011446796757354,0.04039110204437716,3.648378410153681
2,0,0,2,1.142380173842303,0.026902340698678896,3.82220480468705
3,0,1,0,2.184082564207967,-0.0006157490379364417,5.376548823560492
4,0,1,1,0.24983419460506695,0.014121570861199851,5.51973923554024
5,0,1,2,-0.9368081811310494,-0.011445134588982376,3.9968230387321415
6,0,2,0,-1.684354897928259,0.0012258178982108904,5.611429656354964
7,0,2,1,-2.8007421542122244,-0.0017522900541837028,4.072206889686093
8,0,2,2,-2.1638593042551157,0.04872189611996758,2.2880911371245687
9,1,0,0,2.13975086173534,3.3689371162715744,1.9898234627357636
10,1,0,1,1.711059091794549,2.565004787062796,3.696948983334681
11,1,0,2,0.5853873417067039,0.9918601739913175,3.8506767453021875
12,1,1,0,1.1325259496481912,1.849549788073956,5.35079155473792
13,1,1,1,0.18331627889783797,0.21889344713404965,5.513276879819452
14,1,1,2,-0.464869565213335,-0.7700652268464371,3.9551431848143257
15,1,2,0,-0.8500733742963286,-1.4264390825116129,5.60372922747333
16,1,2,1,-1.5432890424305945,-2.4038911614826137,4.113715093709944
17,1,2,2,-1.1096152921808804,-1.8291019501186214,2.2763772864311504
18,2,0,0,-1.6688979917983118,3.6673131632894096,1.9921629432596666
19,2,0,1,-1.2584215038539606,2.8388827146011555,3.689089700636855
20,2,0,2,-0.4735446859878456,1.0404737784304277,3.798578132591318
21,2,1,0,-0.8831833117258717,1.954198630079658,5.342431593693865
22,2,1,1,-0.14181043552000003,0.18418831183873172,5.497716746022854
23,2,1,2,0.3324372369516925,-0.7919253597569882,3.927432565052552
24,2,2,0,0.7042254314738088,-1.5452913635979835,5.608308420356188
25,2,2,1,1.187364983235924,-2.534898323260178,4.059788145458438
26,2,2,2,0.8621130994358339,-1.9090347310882256,2.32426832263446
